HUD/Ally	Sojusznik
ItemDescription/RAD_DEFLECTOR	Odporność na promieniowanie: <p>
ItemDescription/RAGE_SCANNER	Szał po zabójstwie: <p>
ItemDescription/RANDOM_SCANNER	Losowa znajdźka po zabójstwie: <p>, u Casino: <p2>
ItemDescription/RAPID_FIRE	Szybkostrzelność: <p>
ItemDescription/RAPID_RELOAD	Przeładowanie: <p>
ItemDescription/REBREATHER	Tlen się nie wyczerpuje, po starciu leczy: <d>
ItemDescription/RED_PONCHO	Odporność na lasery: <p>, pancerz: <d2>
ItemDescription/RESIST_WHILE_MOVING	Odporność na obrażenia w ruchu: <p>, u Hopalonga: <p2>
ItemDescription/RIFT_BLOCKER	Opóźnienie wrogów z furtek, sekundy: <d>
ItemDescription/RIFT_HACKER	Sojuszniczy rewolwerowiec. Z furtek wychodzą sojusznicy
ItemDescription/RIFT_HUNTER	Tabaka ze starcia przy otwartej furtce: <p>
ItemDescription/RIFT_TWEAKER	Z furtek wychodzą tylko rewolwerowcy
ItemDescription/ROBOT_HUNTER	Obrażenia: <d>, obrażenia ochronie: <p2>
ItemDescription/ROCKET_HORSESHOES	Zasięg ruchu na planecie: <d>
ItemDescription/RUBY	Bezużyteczny. Do sprzedania za: <d>
ItemDescription/SADDLEBAGS	Maks. bimbru: <d>
ItemDescription/SAPPHIRE	Bezużyteczny. Do sprzedania za: <d>
ItemDescription/SCARLET_PONCHO	Odporność na lasery: <p>, pancerz: <d2>
ItemDescription/SECRET	Pełne leczenie, pełny pancerz, tylko Pajęcza Rosa
ItemDescription/SHINE_FLASK	Szansa, że popis nie zużyje bimbru: <p>
ItemDescription/SHINE_SCANNER	Bimber po zabójstwie: <p>
ItemDescription/SHOVEL	Po schwytaniu sam uciekasz z więzienia
ItemDescription/SHREDDING_ROUNDS	Szatkowanie pancerza: <d>
ItemDescription/SHREDDING_ROUNDS_2	Szatkowanie pancerza: <d>
ItemDescription/SMALL_CALIBER_ROUNDS	Obrażenia: <p>, amunicja: <d2>, przeładowanie: <p>
ItemDescription/SMART_TRACKING_ROUNDS	Strzały same szukają celu
ItemDescription/SMOKY_PONCHO	Odporność na ogień: <p>, u Smoky'ego amunicja: <d2>
ItemDescription/STEEL_BREASTPLATE	Pancerz: <d>
ItemDescription/STEEL_BULLETS	Obrażenia: <p>
ItemDescription/STORM_HEAL	Zdrowie: <d>, piorun z burzy leczy w pełni
ItemDescription/STORM_RESISTANCE	Pancerz: <d>, pioruny z burzy nie szkodzą
ItemDescription/STUN_ROUNDS	Szansa na ogłuszenie: <p>, sekundy: <d2>
ItemDescription/SUPER_AUTO_ARMOR	Po starciu odnawia pancerz: <d>
ItemDescription/SUPER_AUTO_HEAL	Po starciu leczy: <d>
ItemDescription/SUPER_EM_CLOAK	Zasięg wykrycia przez ochronę: <p>
ItemDescription/SUPER_TOUGH_CLOAK	Zdrowie: <d>
ItemDescription/TARGETED_SHINE_SCANNER	Bimber po zabójstwie krytycznym: <p>
ItemDescription/TELESCOPIC_SIGHTS	Rozrzut: <p>, przybliżenie: <p2>
ItemDescription/THROW_FORCE	Siła rzutu: <p>, poza Spike'em niesława: <p2>
ItemDescription/TOUGH_CLOAK	Zdrowie: <d>
ItemDescription/URANIUM_BREASTPLATE	Pancerz: <d>
ItemDescription/URANIUM_BULLETS	Obrażenia: <p>
ItemDescription/VAMPIRE_BOOTS	Szybkość: <d>, szybkość nocą: <d2>
ItemDescription/VAMPIRE_CLOAK	Zdrowie: <d2>, odporność na obrażenia nocą: <p>
ItemDescription/VAMPIRE_ROUNDS	Obrażenia: <d2>, zadane nocą obrażenia leczą: <p>
ItemDescription/VERY_TOUGH_CLOAK	Zdrowie: <d>
ItemDescription/VIOLET_PONCHO	Odporność na truciznę: <p>, pancerz: <d2>
ItemDescription/WOLFSKIN_GLOVES	Obrażenia: <d>
ItemDescription/WOLF_2_ALLY	Sojusznicze niestabilne kojoty: <d>, u Rawhide'a: <d2>
ItemDescription/WOLF_3_ALLY	Sojusznicze opancerzone kojoty: <d>, u Rawhide'a: <d2>
ItemDescription/WOLF_ALLY	Sojusznicze kojoty: <d>, u Rawhide'a: <d2>
ItemDescription/YELLOW_PONCHO	Odporność na dźwięk: <p>, pancerz: <d2>
ItemEffect/AUTO_ARMOR	Pancerz
ItemEffect/AUTO_HEAL	Zdrowie
ItemEffect/FULL_HEAL	Zdrowie
ItemEffect/REBREATHER	Zdrowie
ItemEffect/SUPER_AUTO_ARMOR	Pancerz
ItemEffect/SUPER_AUTO_HEAL	Zdrowie
ItemName/AERODYNAMIC_ROUNDS	Naboje strzałkowe
ItemName/ALLOY_HORSESHOES	Podkowy ze stopu
ItemName/ALL_BARRELS_EXPLODE	Detonator beczek
ItemName/ALL_PALS	Dozownik feromonów
ItemName/AMYGDALA_BOMB	Bomba migdałowata
ItemName/ARMOR_SCANNER	Skaner pancerza
ItemName/ARMOR_SCANNER_2	Superskaner pancerza
ItemName/ARMOR_SCANNER_3	Ultraskaner pancerza
ItemName/ASSISTANCE_DRONE	Dron wsparcia
ItemName/AUTO_ARMOR	Autopłatnerz
ItemName/AUTO_HEAL	Autokonował
ItemName/BARE_CHEST	Goła klata
ItemName/BARREL_LOOT	Skaner beczek
ItemName/BEARSKIN_GLOVES	Ultraładownik
ItemName/BEAR_2_ALLY	Drażliwy towarzysz
ItemName/BEAR_ALLY	Towarzysz grizzly
ItemName/BETTER_JETPACK	Osłonięty plecak odrzutowy
ItemName/BLAST_DEFLECTOR	Ognisty deflektor
ItemName/BLAST_PONCHO	Płonące poncho
ItemName/BULKY_BREASTPLATE	Nieporęczny napierśnik
ItemName/BURNING_ROUNDS	Naboje zapalające
ItemName/CASINO_RESIST	Krawat bolo Casino
ItemName/CHOW	Żarcie
ItemName/COMPASS_ENHANCER	Ulepszony kompas
ItemName/COYOTESKIN_GLOVES	Ładownik kul
ItemName/CRAFTED_IRON_SIGHTS	Kalibrowane przyrządy celownicze
ItemName/CRITTER_HUNTER	Luneta na zwierzynę
ItemName/CRIT_ROUNDS	Naboje z pustym czubkiem
ItemName/CRIT_ROUNDS_2	Naboje dum-dum
ItemName/CRIT_ROUNDS_3	Super naboje dum-dum
ItemName/DEADLY_AMULET	Pas czarnej dziury
ItemName/DEADLY_TALISMAN	Odznaka czarnej dziury
ItemName/DIAMOND	Diament
ItemName/EMERALD	Szmaragd
ItemName/EM_CLOAK	Kamizelka z mylaru
ItemName/ENRAGING_ROUNDS	Naboje szału
ItemName/EVERYTHING	Dron amunicyjny
ItemName/EXPLODING_BARREL_STUN	Ogłuszające beczki
ItemName/EXPLOSIVE_AMMO	Naboje wybuchowe
ItemName/EXTRA_BULLETS	Naboje odłamkowe
ItemName/FLASK_OF_KRAM	Piersiówka tabaki
ItemName/FULL_HEAL	Biblia ognia i siarki
ItemName/GOLD_PONCHO	Tłumik dźwięku
ItemName/GREEN_PONCHO	Poncho protonowe
ItemName/GUARD_HUNTER	Luneta na ludzi
ItemName/GUNHAND_2_ALLY	Wyszkolony towarzysz
ItemName/GUNHAND_3_ALLY	Zaprawiony towarzysz
ItemName/GUNHAND_ALLY	Towarzysz rewolwerowiec
ItemName/HEALING_ROUNDS	Krwiopijcze naboje
ItemName/HEALTH_AND_ARMOR	Ołowiany prochowiec
ItemName/HEALTH_NO_ARMOR	Strój Adama
ItemName/HEALTH_SCANNER	Skaner zdrowia
ItemName/HEALTH_SCANNER_2	Superskaner zdrowia
ItemName/HEALTH_SCANNER_3	Ultraskaner zdrowia
ItemName/HEFTY_MAGAZINE	Pojemny magazynek
ItemName/HELPFUL_DRONE	Pomocny dron
ItemName/IMPLANT_SUIT	Skafander
ItemName/INFAMY_DOUBLER	Niesławny garnitur
ItemName/INVULNERABILITY_SCANNER	Skaner nietykalności
ItemName/IRONCLAD_2_ALLY	Rakietowy towarzysz
ItemName/IRONCLAD_ALLY	Towarzysz żelaźniak
ItemName/IRONCLAD_SHINE_SCANNER	Skaner bimbru z żelaźniaków
ItemName/IRON_SIGHTS	Przyrządy celownicze
ItemName/IRRADIATED_ROUNDS	Naboje radioaktywne
ItemName/JACKHAMMER	Wytrych
ItemName/JETPACK	Plecak odrzutowy
ItemName/JET_HORSESHOES	Odrzutowe podkowy
ItemName/JUMPING_BOOTS	Rakietowe buty
ItemName/KILLSHOT_ROUNDS	Zabójczy nabój
ItemName/KILLSHOT_ROUNDS_2	Dwa zabójcze naboje
ItemName/KILLSHOT_ROUNDS_3	Trzy zabójcze naboje
ItemName/KNOCKBACK_ROUNDS	Naboje odrzucające
ItemName/KRAM_ALMANAC	Almanach tabaki
ItemName/KRAM_CHARM	Wzmacniacz tabaki
ItemName/KRAM_HOG	Tabaczny obżartuch
ItemName/KRAM_SCANNER	Skaner tabaki
ItemName/KRAM_SUPER_CHARM	Superwzmacniacz tabaki
ItemName/LARGE_CALIBER_ROUNDS	Naboje dużego kalibru
ItemName/LEVITATION_BOOTS	Buty lewitacyjne
ItemName/LIME_PONCHO	Deflektor protonów
ItemName/LUCKY_DICE	Szczęśliwe kości
ItemName/LUCKY_DICE_2	Superszczęśliwe kości
ItemName/LUCKY_ESCAPE	Królicza łapka
ItemName/MACHINE_GUNNER_2_ALLY	Ciężki towarzysz
ItemName/MACHINE_GUNNER_ALLY	Towarzysz korbiarz
ItemName/MAGAZINE	Magazynek
ItemName/MARKSMAN_2_ALLY	Zabójczy towarzysz
ItemName/MARKSMAN_3_ALLY	Skryty towarzysz
ItemName/MARKSMAN_ALLY	Towarzysz łowca
ItemName/MARSHAL_ROUNDS	Luneta na książąt
ItemName/MOTTLED_GREEN_PONCHO	Poncho kombi
ItemName/MULE	Robomuł
ItemName/NITRO_SCANNER	Skaner nitro
ItemName/NITRO_SYPHON	Syfon nitro
ItemName/OUTLAWED_AMMUNITION	Zakazane naboje
ItemName/PAINFUL_BREASTPLATE	Wszczepiany napierśnik
ItemName/PAINFUL_TONIC	Cudowny specyfik
ItemName/PANIC_ROUNDS	Pajęcze naboje
ItemName/PENETRATING_ROUNDS	Naboje przeciwpancerne
ItemName/PLANET_VISION_ENHANCER	Kapelusz z szerokim rondem
ItemName/PLUTONIUM_BREASTPLATE	Plutonowy napierśnik
ItemName/PLUTONIUM_BULLETS	Plutonowe naboje
ItemName/POISON_BOTH	Gruczoł grzechotnika
ItemName/POISON_ROUNDS	Toksyczne naboje
ItemName/PRESCRIBED_AMMUNITION	Naboje naprowadzane
ItemName/PROJECTILE_SPEED	Rakietowe naboje
ItemName/PUNCH_PACKING_AMMO	Amunicja hiperkinetyczna
ItemName/PURPLE_PONCHO	Poncho antytoksyczne
ItemName/RAD_DEFLECTOR	Tarcza antyrad
ItemName/RAGE_SCANNER	Skaner szału
ItemName/RANDOM_SCANNER	Skaner szczęścia
ItemName/RAPID_FIRE	Smar nanopolimerowy
ItemName/RAPID_RELOAD	Szybkoładowacz
ItemName/REBREATHER	Aparat oddechowy
ItemName/RED_PONCHO	Poncho laserowe
ItemName/RESIST_WHILE_MOVING	Deflektor kinetyczny
ItemName/RIFT_BLOCKER	Blokada furtek
ItemName/RIFT_HACKER	Haker furtek
ItemName/RIFT_HUNTER	Łupieżca furtek
ItemName/RIFT_TWEAKER	Przestrajacz furtek
ItemName/ROBOT_HUNTER	Luneta na syntoidy
ItemName/ROCKET_HORSESHOES	Rakietowe podkowy
ItemName/RUBY	Rubin
ItemName/SADDLEBAGS	Juki
ItemName/SAPPHIRE	Szafir
ItemName/SCARLET_PONCHO	Deflektor laserów
ItemName/SECRET	Sekret
ItemName/SHINE_FLASK	Piersiówka bimbru
ItemName/SHINE_SCANNER	Skaner bimbru
ItemName/SHOVEL	Nanołopata
ItemName/SHREDDING_ROUNDS	Naboje szatkujące
ItemName/SHREDDING_ROUNDS_2	Super naboje szatkujące
ItemName/SMALL_CALIBER_ROUNDS	Naboje małego kalibru
ItemName/SMART_TRACKING_ROUNDS	Inteligentne naboje naprowadzane
ItemName/SMOKY_PONCHO	Fartuch Smoky'ego
ItemName/STEEL_BREASTPLATE	Kevlarowy napierśnik
ItemName/STEEL_BULLETS	Naboje na zamówienie
ItemName/STORM_HEAL	Wysokonapięciowa apteczka
ItemName/STORM_RESISTANCE	Czapka z folii
ItemName/STUN_ROUNDS	Tępe naboje
ItemName/SUPER_AUTO_ARMOR	Superautopłatnerz
ItemName/SUPER_AUTO_HEAL	Superautokonował
ItemName/SUPER_EM_CLOAK	Kamizelka Faradaya
ItemName/SUPER_TOUGH_CLOAK	Prochowiec ze skóry grizzly
ItemName/TARGETED_SHINE_SCANNER	Precyzyjny skaner bimbru
ItemName/TELESCOPIC_SIGHTS	Celownik teleskopowy
ItemName/THROW_FORCE	Podstępne sterydy
ItemName/TOUGH_CLOAK	Wytrzymały prochowiec
ItemName/URANIUM_BREASTPLATE	Uranowy napierśnik
ItemName/URANIUM_BULLETS	Uranowe naboje
ItemName/VAMPIRE_BOOTS	Buty północy
ItemName/VAMPIRE_CLOAK	Płaszcz północy
ItemName/VAMPIRE_ROUNDS	Wampirze naboje
ItemName/VERY_TOUGH_CLOAK	Prochowiec z kojota
ItemName/VIOLET_PONCHO	Przetwornik trucizn
ItemName/WOLFSKIN_GLOVES	Hiperładownik
ItemName/WOLF_2_ALLY	Niestabilny towarzysz
ItemName/WOLF_3_ALLY	Opancerzony towarzysz
ItemName/WOLF_ALLY	Towarzysz kojot
ItemName/YELLOW_PONCHO	Dźwiękoszczelne poncho
ItemPower/1	Podstawowy
ItemPower/2	Lepszy
ItemPower/3	Pierwszorzędny
ItemRarity/COMMON	Zwykły
ItemRarity/RARE	Epicki
ItemRarity/UNCOMMON	Rzadki
ItemType/GEAR	Wyposażenie
ItemType/HORSE	Wyposażenie
ItemType/OUTFIT	Strój
ItemType/UNUSABLE	Bezużyteczne
ItemType/WEAPON	Uzbrojenie
Resource/AceBuffs	Wzmocnienia asów
Resource/Bastard	Bękart
Resource/BeanPickup	Fasola
Resource/Beans	Fasola
Resource/BonusUnlock	Naładowany as
Resource/ChitPickup	Cramm
Resource/Chits	Cramm
Resource/Disguises	Przebrania
Resource/EatBeans	Podziel się fasolą
Resource/Elixir	Tonik
Resource/ElixirPickup	Tonik
Resource/Elixirs	Toniki
Resource/EquipItem	Załóż przedmiot
Resource/Glint	Błysk
Resource/Gold	Złoto
Resource/Helix	Helisa
Resource/Infamy	Niesława
Resource/InherentUnlock	Podstawowy as
Resource/InherentUnlocks	Podstawowe asy
Resource/Item	Przedmiot
Resource/Items	Przedmioty
Resource/JailedOutlaws	Uwięziony banita
Resource/Kram	Tabaka
Resource/NavPickup	Nadajnik
Resource/Navs	Nadajniki
Resource/Shard	Asy
Resource/ShardPickup	Asy
Resource/Shards	Asy
Resource/Shine	Bimber
Resource/ShowOutlaws	Pokaż banitów
Resource/Teleporters	Teleportery
Resource/UseDisguise	Użyj przebrania
Resource/UseElixir	Użyj toniku
Resource/UseNav	Użyj nadajnika
Resource/UseTeleporter	Użyj teleportera
Resource/UseWater	Użyj nitro
Resource/Water	Nitro
TalentDesc/BILLY_CLOUD_OF_INK	Po otrzymaniu obrażeń nietykalność, sekundy: <d>
TalentDesc/BILLY_DEADLY	Obrażenia: <d>
TalentDesc/BILLY_DUELER	Zawsze krytycznie trafia zabójców, odporność na zabójców: <p>
TalentDesc/BILLY_GIANT_SLAYER	Zawsze krytycznie trafia książąt, odporność na książąt: <p>
TalentDesc/BILLY_JUST_A_KID	Tury do przybycia księcia: <d>
TalentDesc/BILLY_QUICK	Przeładowanie, sekundy: <d>
TalentDesc/BILLY_SHOOTER	Amunicja: <d>
TalentDesc/BILLY_SOMETHING_TO_PROVE	Obrażenia w starciach powyżej zagrożenia 1: <p>
TalentDesc/BILLY_TENACIOUS	Po nokaucie nietykalność, razy na starcie: <d>
TalentDesc/CUFFS_BADGED	Następne patrole lub obławy, które się poddadzą: {[TALENT:CUFFS_BADGED]}
TalentDesc/CUFFS_DEADLY_TURRETS	Poziom działek Cuffs: <d>
TalentDesc/CUFFS_INSIDER	Strażnicy i zwierzęta w fortach: <p>
TalentDesc/CUFFS_POISON_SPORES	Trucizna Szczelinatora, sekundy: {[TALENT:CUFFS_POISON_SPORES]}
TalentDesc/CUFFS_STUNNING_TURRETS	Działka Cuffs ogłuszają, sekundy: {[TALENT:CUFFS_STUNNING_TURRETS]}
TalentDesc/DOC_BARTERER	Zysk ze sprzedaży przedmiotów: <d>
TalentDesc/DOC_CASHED_UP	Cramm przy zejściu na planetę: <d>
TalentDesc/DOC_CHARMED	Odporność na obrażenia: <p>
TalentDesc/DOC_GIFTED	Losowe znajdźki na starcie: <d>
TalentDesc/DOC_INVESTOR	100 cramm za zabicie Karzyciela: <p>
TalentDesc/DOC_LUCKY_BOUNCE	Pancerz się nie zużywa: <p>
TalentDesc/DOC_LUCKY_ESCAPE	Szansa, że nokautujący cios nie zada obrażeń: <p>
TalentDesc/DOC_LUCKY_FIND	Zawsze znajduje rzadsze przedmioty
TalentDesc/DOC_LUCKY_FIND_RARE	Zawsze znajduje rzadkie przedmioty
TalentDesc/DOC_LUCKY_SHOT	Zawsze wyrzuca maksymalne obrażenia
TalentDesc/DOC_QUICK	Przeładowanie magazynka, sekundy: <d>
TalentDesc/DOC_SHOT_SIZE	Obrażenia: <d>, przeładowanie magazynka, sekundy: <d2>
TalentDesc/DOC_SLEIGHT_OF_HAND	Szansa na darmowy zakup: <p>
TalentDesc/DOC_WINNER	Dodatkowe zabójstwa popisem: <d>
TalentDesc/FLETCH_ALTER_REALITY	Losuje od nowa strażników blokady
TalentDesc/FLETCH_DEADLY	Obrażenia: <d>
TalentDesc/FLETCH_EXPLODER	Wybuchowa strzała, obrażenia: <d>
TalentDesc/FLETCH_EXPOSE_WEAKNESS	Blah
TalentDesc/FLETCH_GRIT_FINDER	Asy w starciach na pustkowiu: <p>
TalentDesc/FLETCH_ITEM_FLUCTUATION	Ponowne losowanie znalezionych przedmiotów: <d>
TalentDesc/FLETCH_MIND_MODIFIER	Przejęcie po trafieniu: <p>
TalentDesc/FLETCH_MIX_TIMELINES	Dodatkowy as jest losowy
TalentDesc/FLETCH_PERCEIVE_WEAKNESS	Obrażenia Karzycielom: <p>
TalentDesc/FLETCH_RIFT_TWEAKER	Wrogowie z furtek są przejęci: <p>
TalentDesc/FLETCH_SCALED	Zdrowie: <d>, pancerz: <d2>
TalentDesc/FLETCH_TALENT_FLUCTUATION	Ponowne losowanie asów do wyboru: <d>
TalentDesc/FLETCH_TIME_WALKER	Po nokaucie wraca do walki, razy na starcie: <d>
TalentDesc/GENERIC_ACCURATE	Rozrzut strzałów: <p>
TalentDesc/GENERIC_BRUTAL	Strzały w serii: <d>
TalentDesc/GENERIC_BULLETPROOF	Pancerz: <d>
TalentDesc/GENERIC_DEADLY	Obrażenia: <p>
TalentDesc/GENERIC_EAGLE_EYED	Przybliżenie broni: <p>, obrażenia przy celowaniu: <p2>
TalentDesc/GENERIC_FARSIGHTED	Zasięg widzenia na planecie: <d>
TalentDesc/GENERIC_FAST_RIDER	Ruchy na planecie: <d>
TalentDesc/GENERIC_FEARSOME	Ucieczka wrogów z blokady: <p>
TalentDesc/GENERIC_FORCEFUL	Odrzut celu: <p>
TalentDesc/GENERIC_HIGH_VELOCITY	Prędkość pocisku: <p>
TalentDesc/GENERIC_INNOCENT	Tury do przybycia księcia: <d>
TalentDesc/GENERIC_LASER_RESIST	Odporność na lasery: <p>, zdrowie: <d2>
TalentDesc/GENERIC_PENETRATING	Strzały przebijają pancerz
TalentDesc/GENERIC_POISON_RESIST	Odporność na truciznę: <p>, zdrowie: <d2>
TalentDesc/GENERIC_POWERFUL	+10% obszaru popisu
TalentDesc/GENERIC_PROTON_RESIST	Odporność na protony: <p>, zdrowie: <d2>
TalentDesc/GENERIC_QUICK	Czas przeładowania: <p>
TalentDesc/GENERIC_RAPID_FIRE	Szybkostrzelność: <p>
TalentDesc/GENERIC_RESOLUTE	Czas trwania popisu: <p>
TalentDesc/GENERIC_SHOOTER	Amunicja: <d>
TalentDesc/GENERIC_SHREDDER	Szatkowanie pancerza: <d>
TalentDesc/GENERIC_SLAYER	Obrażenia krytyczne: <p>
TalentDesc/GENERIC_SONIC_RESIST	Odporność na dźwięk: <p>, zdrowie: <d2>
TalentDesc/GENERIC_SPEEDY	Szybkość w starciu: <d>
TalentDesc/GENERIC_STRONG	Siła rzutu: <p>
TalentDesc/GENERIC_THUNDERCLAP	 Ogłuszenie, sekundy: <d>
TalentDesc/GENERIC_TOUGH	Zdrowie: <d>
TalentDesc/HOPALONG_CARNIVORE	Szansa na apteczkę po zabiciu zwierzęcia: <p>
TalentDesc/HOPALONG_COWBOY	Obrażenia zwierzętom: <d>
TalentDesc/HOPALONG_DEADLY	Obrażenia: <d>
TalentDesc/HOPALONG_DETERMINED	Odporność na obrażenia podczas duszenia: <p>
TalentDesc/HOPALONG_LONER	Niesława ze starcia w pojedynkę: <p>
TalentDesc/HOPALONG_LONG_REACH	Zasięg lassa: <d>
TalentDesc/HOPALONG_RAWHIDE	Czas ogłuszenia Trzaskiem bicza: <p>
TalentDesc/HOPALONG_REGENERATOR	Leczenie co turę na planecie: <d>
TalentDesc/HOPALONG_RESOLUTE	Czas trwania popisu: <d>
TalentDesc/HOPALONG_ROUNDUP	Szansa, że jedna grupa zwierząt zginie przed starciem na blokadzie: <p>
TalentDesc/HOPALONG_SONIC_BOOM	Czas ogłuszenia Trzaskiem bicza: <d>
TalentDesc/HOPALONG_TRICK_RIDER	Ucieczka przed patrolem, sforą lub obławą: <p>
TalentDesc/JUDGE_DEADLY	Obrażenia: <d>
TalentDesc/JUDGE_DEATH_SENTENCE	Każde zabójstwo przedłuża popis, sekundy: <d>
TalentDesc/JUDGE_DOUBLE_JEOPARDY	Obrażenia w czasie kuli: <p>
TalentDesc/JUDGE_EXECUTIONER	Szybkie przeładowanie po zabójstwie
TalentDesc/JUDGE_FOCUS	Obrażenia: <d>, zdrowie: <d2>
TalentDesc/JUDGE_HEAVY_PLATE	Pancerz: <d>, szybkość w starciu: <d2>
TalentDesc/JUDGE_IMPLACABLE	Szansa na powrót do walki po zabiciu wroga: <p>
TalentDesc/JUDGE_JUSTICE	Leczenie po zabójstwie: <d>
TalentDesc/JUDGE_METALLIC	Pancerz: <d>, odnowa pancerza po starciu: <d2>
TalentDesc/JUDGE_SNAPSHOT	Szybkie przeładowanie po krytyku
TalentDesc/JUDGE_SNIPER	Natychmiastowe przeładowanie po krytyku: <p>
TalentDesc/JUDGE_STAGGER	Ogłuszenie: <d>
TalentDesc/KABOOM_BLAST_WAVE	Odrzut od wybuchu: <p>
TalentDesc/KABOOM_BUOYANT	Unosi się na wodzie
TalentDesc/KABOOM_DEADLY	Obrażenia: <d>
TalentDesc/KABOOM_DEMOLISHER	Bomby w dynamicie: <d>
TalentDesc/KABOOM_EXPLODER	Promień wybuchu dynamitu: <p>
TalentDesc/KABOOM_FLOATING	Brak obrażeń od upadku
TalentDesc/KABOOM_GLINT_MINER	Znajduje błysk w kopalniach
TalentDesc/KABOOM_GOLD_BUG	Dodatkowy błysk w każdym miejscu: <p>
TalentDesc/KABOOM_MINER	Losowe znajdźki w kopalniach: <d>
TalentDesc/KABOOM_PROSPECTOR	Błysk: <d>
TalentDesc/KABOOM_REACTIVE	Wybucha po trafieniu, obrażenia: <d>
TalentDesc/KABOOM_REACTIVE_STUN	Wybucha po trafieniu, obrażenia: <d>, ogłuszenie, sekundy: <d>
TalentDesc/KABOOM_RESOLUTE	Czas trwania popisu, sekundy: <d>
TalentDesc/KABOOM_SHOCK_PROOF	Odporność na ogień: <p>
TalentDesc/KABOOM_SHOCK_WAVE	Dynamit i bomby ogłuszają, sekundy: <d>
TalentDesc/KABOOM_SHORT_FUSE	Dynamit wybucha w zetknięciu z wrogiem
TalentDesc/KABOOM_SILENT	Porusza się bezszelestnie
TalentDesc/KABOOM_SNEAKY	Rzut dynamitem nie przerywa niewidzialności
TalentDesc/KABOOM_VAPOROUS	Odporność na obrażenia: <p>
TalentDesc/LAIKA_BRITTLE_SHIELDING	Pancerz: <d>, zdrowie: <d2>
TalentDesc/LAIKA_CHARGE_ENGINEER	Nagrzewanie: <p>
TalentDesc/LAIKA_CHARGE_SHIELDING	Nietykalność podczas Odpalenia
TalentDesc/LAIKA_DEADLY	Obrażenia: <d>
TalentDesc/LAIKA_DROP_TECHNICIAN	Użycia miejsc zrzutu: <d>
TalentDesc/LAIKA_ENTRY_TECHNICIAN	Rozproszeni banici na planetę: <d>
TalentDesc/LAIKA_FLYER	Przytrzymaj skok, by latać
TalentDesc/LAIKA_HIGH_ENERGY	Obrażenia: <d>, nagrzewanie: <p2>
TalentDesc/LAIKA_HIGH_FREQUENCY	Strzały przebijają pancerz
TalentDesc/LAIKA_LEAPER	Wysokość skoku: <p>, brak obrażeń od upadku
TalentDesc/LAIKA_MULTI_CHARGE	Seria: <d>, obrażenia: <d2>
TalentDesc/LAIKA_ORBITAL_SURVEY	Odkrywa mapę okolicy na planecie
TalentDesc/LAIKA_RIFT_LOCATER	Położenie furtek widać na kompasie
TalentDesc/LAIKA_SHINE_SUPPLIER	Bimber na starcie: <d2>
TalentDesc/LAIKA_TRAVELLER	Może się teleportować do innych banitów
TalentDesc/LEGS_CHARMING	Odbicie obrażeń od strażników: <p>
TalentDesc/LEGS_CITY_SLICKER	Przejęci strażnicy w starciu w mieście: <d>
TalentDesc/LEGS_DEADLY	Obrażenia: <d>
TalentDesc/LEGS_HORMONE_HARVESTER	Szał po zabiciu strażnika: <p>
TalentDesc/LEGS_ORGAN_HARVESTER	Nietykalność po zabiciu strażnika: <p>
TalentDesc/LEGS_RINGLEADER	Obrażenia przejętych strażników: <p>
TalentDesc/MAMA_BACKSTABBER	Strzały w plecy są krytyczne
TalentDesc/MAMA_DEADLY	Obrażenia: <d>
TalentDesc/MAMA_DECEIVER	Przejęcie losowego strażnika po zabójstwie: <p>
TalentDesc/MAMA_GUNBUCKET_HIDE	Niewidzialna dla luf
TalentDesc/MAMA_HARVESTER	Szał po zabiciu Karzyciela: <p>
TalentDesc/MAMA_JACKBOX_HIDE	Niewidzialna dla skrzynek-pułapek
TalentDesc/MAMA_LOW_PROFILE	Zasięg wykrycia przez ochronę: <p>
TalentDesc/MAMA_MAGNUM	Obrażenia: <d>, rozrzut strzałów: <p2>
TalentDesc/MAMA_MESMERISING	Szansa, że patrol się podda: <p>
TalentDesc/MAMA_NEGOTIATOR	Ostatni wróg ucieka
TalentDesc/MAMA_PERSUASIVE	Przejęcie strażnika przed starciem
TalentDesc/MAMA_QUICK	Przeładowanie magazynka, sekundy: <d>
TalentDesc/MAMA_REAPER	Apteczka po zabiciu Karzyciela: <p>
TalentDesc/MAMA_RESOLUTE	Czas trwania wabika, sekundy: <d>
TalentDesc/MAMA_SINISTER	Postrzelony wróg ucieka: <p>
TalentDesc/MAMA_TROUBLEMAKER	Obrażenia dla wrogów na początku starcia: <d>
TalentDesc/MAMA_UNSTABLE_DECOY	Wabik odbija strzały
TalentDesc/PREACH_BARTENDER	Bimber dla innych banitów po starciu: <d>
TalentDesc/PREACH_BENEFICENT	Gdy Kaznodzieja leczy się w walce, partner też się leczy
TalentDesc/PREACH_BLESSED_GATLING	Leczenie popisem: <p>
TalentDesc/PREACH_BRIMSTONE	Obrażenia od ognia: <d2>
TalentDesc/PREACH_DEADLY	Obrażenia: <d>
TalentDesc/PREACH_FAITH	Pancerz: <d>, zdrowie: <d2>
TalentDesc/PREACH_FRIEND	Leczenie banitów w grupie co turę na planecie: <d>
TalentDesc/PREACH_GUIDED	Znajduje apteczki w kościołach
TalentDesc/PREACH_HEALER	Leczenie siebie i partnera po starciu: <d>
TalentDesc/PREACH_POWERED_GATLING	Czas rozkręcania: <d>
