hello_world	Witaj, świecie
interworld_03_line_00_01	Sorry za ostatnio,
interworld_03_line_00_02	Miałem mały problem, ale już wszystko gra.
interworld_03_line_00_03	Tylko czuję, że nie byłem z tobą do końca szczery.
interworld_03_line_00_04	Masz już za sobą sporo poziomów,
interworld_03_line_00_05	więc chyba zasługujesz, żeby wiedzieć trochę więcej o tym, co się tu dzieje.
interworld_03_line_00_06	Po pierwsze
interworld_03_line_00_07	Jak widać, nie jesteśmy tu sami,
interworld_03_line_00_08	W tym świecie jest ktoś trzeci,
interworld_03_line_00_09	Nazywa się <color=green>NUMERO</color>
interworld_03_line_00_10	To przez niego na poziomach wyskakują zewsząd zielone sześciany
interworld_03_line_00_11	Krótko mówiąc,
interworld_03_line_00_12	Chce nas obu zabić, żeby to ON<link="Pause(0.3f)"></link> mógł uciec z tego świata
interworld_03_line_00_13	Ale ciężko pracowałem i nie powinien nam za bardzo przeszkadzać
interworld_03_line_00_14	Ty też dajesz z siebie wszystko, zbierając kryształy w takim tempie!
interworld_03_line_00_15	Więc dzięki ci za to.
interworld_03_line_00_16	Postaram się, żebyśmy szybko wyplątali się z tego bagna.
interworld_04_line_00_00	O, już jesteś
interworld_04_line_00_01	Dobra robota na tych poziomach, robią się coraz podchwytliwsze, co?
interworld_04_line_00_02	<color=green>Numero</color> zbudował kilka naprawdę trudnych, żeby nas tu uwięzić.
interworld_04_line_00_03	Walczyłem z nim, kiedy cię nie było, i chyba
interworld_04_line_00_04	…
interworld_04_line_00_05	Sz<link="TypingSound(0.0.3f)">laaa</link><link="Pause(1)"></link>g
interworld_04_line_00_06	To on
interworld_04_line_00_07	Znalazł nas
interworld_04_line_00_08	<color=green>Numero</color> nas znalazł
interworld_04_line_01_00	Znalazłem was!
interworld_04_line_02_00	Przecież właśnie to powiedziałem!
interworld_04_line_02_01	I odeślę cię tam, skąd przyszedłeś!
interworld_04_line_03_00	Nie pozbędziecie się mnie znowu, sk#&-#!(#&&
interworld_04_line_04_00	…
interworld_04_line_04_01	Sorry, to nie było dla twoich uszu.
interworld_04_line_04_02	Możesz, hmm… możesz zebrać dla mnie kolejne kryształy?
interworld_04_line_04_03	Chyba już niedaleko…
interworld_05_line_00_00	Dobrze, że jesteś,
interworld_05_line_00_01	Potrzebuję twojej pomocy, <link="Pause(0.3f)"></link>szybko!
interworld_05_line_00_02	<color=green>Numero</color> wciąż tu jest i nie odpuści<link=EventTrigger(NumeroTwitch)></link>
interworld_05_line_00_03	No, widzisz, w czym problem
interworld_05_line_00_04	Idź do
interworld_05_line_00_05	STRZELAJ DO NICH Z TEGO LASEROWEGO PALCA!!!
interworld_05_line_01_00	To nic nie znaczy!
interworld_05_line_01_01	Przebiję się!
interworld_05_line_01_02	Tak łatwo mnie nie zabijecie!
interworld_05_line_01_03	Ja jeszcze
interworld_05_line_02_00	Ty się zamkniesz!
interworld_05_line_02_01	... I nie wracaj!<link="Pause(0.5f)"></link> Znowu!
interworld_05_line_02_02	... Miejmy to z głowy
interworld_05_line_02_03	Skoro <color=green>Numero</color> jest tak blisko przebicia się, spotkasz pewnie więcej <color=#6C6>latających zielonych sond</color>
interworld_05_line_02_04	Nie daj się im zauważyć, będziesz mieć tylko kilka sekund, zanim <color=#C66>zaczną strzelać</color>
interworld_05_line_02_05	Nie ruszą się, kiedy <link=Floating(1,1,1)><color=#00FFFF>spowolnisz czas</color></link>, a może nawet uda ci się wtedy uniknąć lasera.
interworld_05_line_02_06	Dawaj, stary, wolność jest już blisko
interworld_06_line_00_00	I znowu jesteś z powrotem!
interworld_06_line_00_01	Już prawie koniec, jeszcze kilka poziomów i będziemy mogli stąd odejść
interworld_06_line_00_02	<color=green>Numero</color> na razie się nie wychyla, ale chyba coś szykuje
interworld_06_line_00_03	Wie, że jesteśmy blisko celu, nie możemy się teraz wycofać!
interworld_06_line_00_04	Do dzieła, mistrzu, tym razem naprawdę!
interworld_07_line_00_00	Tak, tak, tak! Udało się!
interworld_07_line_00_01	Mamy dość kryształów, żeby wrócić do domu!
interworld_07_line_00_02	Daj mi tylko
interworld_07_line_01_00	OTO JESTEM
interworld_07_line_02_00	Widzimy,
interworld_07_line_02_01	i jesteś dokładnie tam, gdzie chciałem!
interworld_07_line_03_01	Co?!
interworld_07_line_04_00	Uff, dobra, szarpie się…
interworld_07_line_04_01	Uff, niedobrze, ale dam radę go utrzymać.
interworld_07_line_04_02	Hmmmm…
interworld_07_line_04_03	No, nie dam rady zrobić obu rzeczy naraz…
interworld_07_line_04_04	To znaczy, nie odeślę do domu nas obu, muszę tu zostać i pilnować, żeby się nie wyrwał
interworld_07_line_04_05	Żeby mnie stąd wyciągnąć, potrzeba o wiele więcej mocy…
interworld_07_line_04_06	Coś koło <link=Rainbow() + Floating()>10 000</link> ludzi takich jak ty...
interworld_07_line_04_07	Ale to już nie twój problem,
interworld_07_line_04_08	Dzięki za całą tę ciężką robotę, należy ci się wolność.
interworld_07_line_04_09	Idź, poradzę sobie.
interworld_07_line_04_10	Dzięki
interworld_08_line_00_00	Jesteś... <link="Pause(1)"></link>Jesteś z powrotem!
interworld_08_line_00_01	Hmm, to znaczy, poziomy musiały ci się naprawdę spodobać, skoro tu jesteś.
interworld_08_line_00_02	No to chyba możesz dostać to w nagrodę
interworld_08_line_00_03	Ten mały kryształ otworzy ci tryb maratonu.
interworld_08_line_00_04	Nie da mi zbyt wiele mocy na powrót do domu, ale przynajmniej będziesz mieć powód, żeby tu wracać :)
interworld_08_line_00_05	Oby zjawiło się więcej takich ludzi jak ty.
interworld_08_line_00_06	Przydałoby mi się trochę więcej mocy…
interworld_08_line_00_07	Ale na razie cieszę się, że tu jesteś, i naprawdę lubię twoje towarzystwo!
interworld_08_line_00_08	Baw się dobrze w trybie maratonu!
dialog_gmif_intro_00	O, znowu cześć!
dialog_gmif_intro_01	Dobrze, że wciąż tu jesteś.
dialog_gmif_intro_02	Znalazłem sposób, żeby odesłać cię do domu! <br>Musimy tylko wejść do matriksa
dialog_gmif_intro_03	Patrz!
dialog_gmif_boss_intro_00_00	Dobra, zrobiliśmy już dość!
dialog_gmif_boss_intro_00_01	Złapałem nawet swojego nemezis, oto <color=green>NUMERO</color>!
dialog_gmif_boss_intro_00_02	Czy on nie jest słodki!?
dialog_gmif_boss_intro_01_00	Jeśli mnie nie znasz, to za mało grasz w tę grę...
dialog_gmif_boss_intro_01_01	Więc powiem to jasno...
dialog_gmif_boss_intro_02_00	<link="Shake(2,-1)">Zniszczę cię!</link>
dialog_gmif_special_ending_00	Witaj w pustce
dialog_gmif_special_ending_01	Wystarczająco mocno przywaliłem?
dialog_gmif_special_ending_02	Mam nadzieję...
dialog_gmif_special_ending_03	Masz szczęście, że potrzebuję więcej czasu, by działać na pełnych obrotach
dialog_gmif_special_ending_04	Chyba wystarczy kilka dni...
dialog_gmif_special_ending_05	Powiedzmy... <color=white><link="Rainbow()">29 października.</link></color>
dialog_gmif_special_ending_06	<link="Shake()">A teraz wynoś się z mojego świata!</link>
next_world	Następny świat
internet_retry	Połącz <br>z internetem
dialog_dlc_intro_00_00	Hej!
dialog_dlc_intro_00_01	Miło cię znowu widzieć!
dialog_dlc_intro_00_02	Znalazłem sposób, żeby raz na zawsze rozprawić się z Numero!
dialog_dlc_intro_00_03	Chodź ze mną!
dialog_dlc_boss_intro_00_00	No dobra, teraz powinienem mieć dość mocy, żeby rozprawić się z Numero.
dialog_dlc_boss_intro_00_01	Hej, nie będę tu czekać, aż mnie skasujecie!
dialog_dlc_boss_intro_00_02	Bawisz się w moim świecie i nie wiesz, co to dla mnie znaczy!
dialog_dlc_boss_intro_00_03	Dron karmił się twoimi sukcesami, żeby zyskać moc
dialog_dlc_boss_intro_00_04	A ja twoimi błędami!
dialog_dlc_boss_intro_00_05	A TERAZ ZMIERZYSZ SIĘ Z WŁASNĄ PORAŻKĄ!
dialog_ending_credits_00_00	Hej, w końcu się obudziłeś!
dialog_ending_credits_00_01	Udało ci się go pokonać...
dialog_ending_credits_00_02	Dziękuję...
dialog_ending_credits_00_03	Pewnie masz mnóstwo pytań, a po tym wszystkim chyba jestem ci winien wyjaśnienia.
dialog_ending_credits_00_04	Ale obawiam się, że cię rozczaruję.
dialog_ending_credits_00_05	Prawda jest taka...<link="Pause"></link> że czułem się samotny.
dialog_ending_credits_00_06	Stworzyłem te wszystkie poziomy, żeby bawić ludzi i rzucać im wyzwanie.
dialog_ending_credits_00_07	Ale nikt nigdy nie dał rady ich przejść
dialog_ending_credits_00_08	Więc stworzyłem ciebie! Idealnego biegacza!
dialog_ending_credits_00_09	I udało ci się! Przejść najtrudniejsze poziomy, a nawet pokonać mój nieudany eksperyment!
dialog_ending_credits_00_10	A, hmm, tak, może popełniłem parę błędów, zanim cię stworzyłem...
dialog_ending_credits_00_11	Ale chciałem tylko mieć kogoś, kto kocha haki z linką tak jak ja.
dialog_ending_credits_00_12	Przepraszam, że to nie jest jakieś pokręcone, epickie zakończenie...
dialog_ending_credits_00_13	Ale cieszę się, że udało ci się zajść tak daleko!
dialog_ending_credits_00_14	Gratulacje!
dialog_ending_credits_00_15	A, no tak, gdzie jesteśmy?
dialog_ending_credits_00_16	To tylko mały świat, który zrobiłem, żeby odsapnąć i trochę się zrelaksować
dialog_ending_credits_00_17	Nie ma tu wiele do roboty, ale po całym tym stresie mam nadzieję, że odpoczniesz tu ze mną chwilę.
dialog_ending_credits_00_18	Chodź, popatrzymy razem na zachód słońca!
dialog_ending_credits_00_19	A, i dziękuję za granie w moją grę!
dialog_ending_credits_00_20	;)
Alright,  	Dobra,
By now you should have the hang of it. 	Teraz już powinno ci iść jak z płatka.
If you feel like you need more training, feel free to train here. 	Jeśli czujesz, że potrzebujesz więcej treningu, śmiało poćwicz tutaj.
I'm sure you'll enjoy swinging around.	Na pewno spodoba ci się bujanie na haku.
Oh one last thing before you go! 	A, jeszcze jedno, zanim pójdziesz!
I guess that you must be wondering what is going on here... 	Pewnie zastanawiasz się, co tu się właściwie dzieje...
But, really, the only thing you need to know is that you have to gather thoses little crystals. 	Ale tak naprawdę musisz wiedzieć tylko tyle, że trzeba zbierać te małe kryształy.
I know it sounds suspicious, but bear with me for a second. 	Wiem, że to brzmi podejrzanie, ale posłuchaj mnie przez chwilę.
They will help power up this portal and you'll be able to return home. 	Zasilą ten portal, a wtedy wrócisz do domu.
My job is to help people trapped here to escape. 	Moja robota to pomagać uwięzionym tu ludziom w ucieczce.
And don't worry about me, I kinda asked for this fate. 	I nie martw się o mnie, sam się o ten los trochę prosiłem.
Ah, hum, yes the real last thing this time. 	A, hmm, tak, tym razem naprawdę ostatnia rzecz.
If you want to proceed, go ahead and shoot this crystal<link="EventTrigger(LookAtCrystal)"></link> right here. 	Jeśli chcesz iść dalej, strzel w ten kryształ<link="EventTrigger(LookAtCrystal)"></link>, o tutaj.
You'll be able to select a level to play. 	Wybierzesz sobie poziom do zagrania.
The more levels you clear, the more crystals and the more worlds you'll unlock. 	Im więcej poziomów przejdziesz, tym więcej kryształów zdobędziesz i tym więcej światów odblokujesz.
Now go get 'em champ! 	No to do dzieła, mistrzu!
